id;fecha;temp;feelslike;dew;humidity;precip;precipprob;windgust;windspeed;winddir;cloudcover;visibility;conditionsDay
3490;01/03/2024 08:00;10.5;8.0;6.0;85.0;0.0;10;18.0;12.0;270;90.0;12.0;cloudy
6463;15/03/2024 17:30;18.0;16.0;10.0;60.0;0.0;0;8.0;6.0;190;35.0;16.0;partly-cloudy
4950;10/04/2024 07:15;12.0;11.0;8.0;82.0;0.2;50;15.0;9.0;140;75.0;10.0;rain
5202;22/05/2024 13:45;22.0;21.0;14.0;55.0;0.0;0;5.0;7.0;230;25.0;18.0;clear
5803;02/06/2024 19:00;25.0;25.0;18.0;58.0;0.0;10;12.0;8.0;200;40.0;14.0;partly-cloudy
6759;18/07/2024 23:30;20.0;19.0;16.0;70.0;0.0;0;6.0;4.0;320;65.0;9.0;cloudy
4015;05/08/2024 06:00;18.5;17.0;14.0;88.0;0.1;20;14.0;9.0;60;80.0;8.0;cloudy
7127;12/09/2024 12:15;26.0;26.0;17.0;50.0;0.0;0;7.0;10.0;150;20.0;20.0;clear
6423;28/10/2024 18:45;14.0;12.0;9.0;76.0;0.4;80;20.0;11.0;210;85.0;6.0;rain
10918;20/11/2024 09:30;9.0;8.0;4.0;92.0;0.0;10;18.0;10.0;250;95.0;8.0;cloudy
