id;fecha;temp;feelslike;dew;humidity;precip;precipprob;windgust;windspeed;winddir;cloudcover;visibility;conditionsDay
5902;18/01/2026 18:30;7.6;6.9;3.5;72.9;0.0;32;13.6;7.9;252;64.9;12.9;partly-cloudy
5088;18/01/2026 18:30;7.9;7.5;4.0;74.5;0.0;11;18.0;7.3;238;44.7;9.7;partly-cloudy
5141;18/01/2026 18:30;8.7;8.1;4.4;76.0;0.0;12;12.5;6.9;229;62.1;9.6;partly-cloudy
5010;18/01/2026 18:30;8.5;7.9;4.1;77.8;0.0;22;20.9;13.5;269;70.4;12.6;partly-cloudy
3924;18/01/2026 18:30;8.2;7.3;4.0;81.2;0.0;29;10.7;6.3;215;62.8;11.1;partly-cloudy
5538;18/01/2026 18:30;7.8;7.3;3.9;72.4;0.0;11;20.0;9.5;239;93.4;15.4;cloudy
4483;18/01/2026 18:30;9.1;8.6;4.2;74.5;0.0;23;12.1;11.0;289;34.4;12.3;partly-cloudy
11177;18/01/2026 18:30;8.4;7.5;4.7;76.1;0.0;9;15.2;8.2;206;66.2;11.7;partly-cloudy
6057;18/01/2026 18:30;8.7;8.1;3.4;85.8;0.0;23;16.0;6.0;250;72.5;10.6;partly-cloudy
6082;18/01/2026 18:30;8.7;8.2;4.2;73.7;0.0;38;20.0;7.9;278;76.3;8.8;partly-cloudy
11127;18/01/2026 18:30;9.1;8.4;4.0;84.6;0.0;12;14.4;7.9;200;29.9;13.5;clear
4322;18/01/2026 18:30;8.7;8.3;4.5;78.9;0.0;20;16.9;8.0;287;75.8;13.1;partly-cloudy
4629;18/01/2026 18:30;9.4;9.0;4.3;75.8;0.1;25;15.6;10.1;274;71.6;9.8;partly-cloudy
5041;18/01/2026 18:30;8.8;7.9;4.0;78.3;0.0;15;20.2;6.8;269;62.1;7.8;partly-cloudy
5191;18/01/2026 18:30;8.2;7.6;3.9;79.2;0.0;23;14.5;7.0;291;59.1;10.2;partly-cloudy
5309;18/01/2026 18:30;8.2;7.2;4.5;72.2;0.0;33;20.3;9.4;216;40.1;8.6;partly-cloudy
5338;18/01/2026 18:30;8.6;8.1;4.1;70.0;0.0;25;10.3;5.6;264;60.8;13.6;partly-cloudy
5167;18/01/2026 18:30;8.4;7.6;3.5;73.1;0.0;26;13.7;3.2;278;54.6;13.9;partly-cloudy
