id;fecha;temp;feelslike;dew;humidity;precip;precipprob;windgust;windspeed;winddir;cloudcover;visibility;conditionsDay
5902;12/01/2026 04:00;6.3;5.3;3.5;82.5;0.1;7;10.6;5.5;275;100.0;12.2;cloudy
5088;12/01/2026 04:00;7.1;6.4;3.8;82.3;0.0;20;15.4;8.4;299;56.9;9.4;partly-cloudy
5141;12/01/2026 04:00;7.1;6.8;3.3;77.2;0.0;0;16.9;7.0;262;85.7;10.5;cloudy
5010;12/01/2026 04:00;7.0;6.3;3.3;69.3;0.0;16;9.5;8.4;264;87.9;9.8;cloudy
3924;12/01/2026 04:00;6.9;5.9;3.2;65.8;0.0;8;11.1;6.8;211;85.1;14.1;cloudy
5538;12/01/2026 04:00;6.6;5.6;4.5;80.3;0.0;8;20.1;4.7;285;76.8;12.0;partly-cloudy
4483;12/01/2026 04:00;6.9;6.2;3.8;70.2;0.0;11;15.3;5.9;249;90.8;12.4;cloudy
11177;12/01/2026 04:00;7.7;6.9;3.4;85.5;0.0;10;11.2;5.6;291;40.3;10.9;partly-cloudy
6057;12/01/2026 04:00;7.2;6.3;3.1;75.0;0.0;29;12.4;9.8;265;59.7;9.1;partly-cloudy
6082;12/01/2026 04:00;6.5;5.6;3.3;73.9;0.0;23;14.8;5.8;207;74.5;10.7;partly-cloudy
11127;12/01/2026 04:00;6.9;6.1;3.5;84.8;0.0;8;13.0;8.3;235;58.9;15.1;partly-cloudy
4322;12/01/2026 04:00;7.6;7.0;3.7;80.6;0.0;13;15.6;8.0;236;49.3;10.0;partly-cloudy
4629;12/01/2026 04:00;7.3;6.8;3.8;89.2;0.0;12;13.1;12.0;268;64.3;7.2;partly-cloudy
5041;12/01/2026 04:00;7.1;6.6;2.9;82.1;0.0;10;18.7;3.2;223;27.7;11.4;clear
5191;12/01/2026 04:00;6.6;5.8;3.6;95.7;0.0;20;8.6;6.5;264;61.4;13.9;partly-cloudy
5309;12/01/2026 04:00;7.0;5.8;3.6;81.5;0.0;28;13.5;8.2;221;70.9;12.7;partly-cloudy
5338;12/01/2026 04:00;6.9;6.1;3.7;77.1;0.0;23;14.3;8.3;269;76.8;10.5;partly-cloudy
5167;12/01/2026 04:00;7.6;6.5;3.2;83.3;0.0;22;13.1;8.5;287;72.7;17.6;partly-cloudy
5293;12/01/2026 04:00;7.9;6.9;2.9;78.0;0.0;16;13.7;7.9;207;61.7;10.8;partly-cloudy
6849;12/01/2026 04:00;6.3;5.4;3.9;83.6;0.0;11;13.3;5.7;261;37.0;11.8;partly-cloudy
1035;12/01/2026 04:00;7.0;6.1;3.6;73.0;0.0;19;14.7;9.5;215;55.4;12.3;partly-cloudy
6862;12/01/2026 04:00;6.3;5.8;3.4;70.3;0.0;22;19.2;6.9;226;41.0;12.5;partly-cloudy
6851;12/01/2026 04:00;7.6;7.0;3.4;73.3;0.0;5;18.9;9.7;232;61.3;16.0;partly-cloudy
6853;12/01/2026 04:00;6.8;5.9;3.6;72.0;0.0;13;11.6;7.8;209;85.8;9.2;cloudy
7109;12/01/2026 04:00;6.1;5.3;4.0;75.5;0.0;12;13.4;6.9;209;48.1;10.6;partly-cloudy
11167;12/01/2026 04:00;5.9;5.2;3.7;66.0;0.0;14;11.5;6.3;239;24.6;9.4;clear
4859;12/01/2026 04:00;7.2;6.1;3.2;77.9;0.0;2;20.6;7.9;200;83.3;10.8;cloudy
5310;12/01/2026 04:00;7.3;6.5;3.3;75.6;0.0;9;12.3;9.2;272;62.3;15.3;partly-cloudy
10955;12/01/2026 04:00;6.5;5.8;4.2;83.1;0.0;10;11.5;5.3;229;79.9;9.9;partly-cloudy
5311;12/01/2026 04:00;7.0;6.3;3.0;82.7;0.0;8;17.4;9.5;278;77.9;13.1;partly-cloudy
6698;12/01/2026 04:00;6.2;5.3;3.3;77.9;0.0;9;11.5;7.7;219;98.4;13.3;cloudy
3912;12/01/2026 04:00;7.2;6.6;2.9;84.8;0.0;19;13.0;7.4;283;49.7;6.9;partly-cloudy
4443;12/01/2026 04:00;6.7;5.9;4.1;86.7;0.0;5;11.9;1.2;208;14.9;12.1;clear
4467;12/01/2026 04:00;7.2;6.4;3.1;83.5;0.0;12;18.0;6.7;295;78.7;11.2;partly-cloudy
5549;12/01/2026 04:00;6.9;6.0;4.0;82.0;0.0;0;11.8;8.4;296;51.1;8.4;partly-cloudy
3645;12/01/2026 04:00;7.1;6.2;3.3;86.7;0.0;17;17.4;6.9;279;67.3;13.2;partly-cloudy
6072;12/01/2026 04:00;7.5;6.8;3.7;83.7;0.0;12;14.5;9.0;274;75.4;11.2;partly-cloudy
10890;12/01/2026 04:00;6.7;5.9;3.2;74.2;0.0;10;13.3;6.7;223;71.4;12.0;partly-cloudy
6256;12/01/2026 04:00;7.0;5.9;3.0;77.2;0.0;14;14.2;8.4;204;41.5;10.6;partly-cloudy
10845;12/01/2026 04:00;7.2;6.3;3.3;85.4;0.0;17;10.7;9.5;216;62.4;14.9;partly-cloudy
5365;12/01/2026 04:00;7.5;6.5;2.3;81.5;0.0;12;17.3;5.7;266;61.3;9.3;partly-cloudy
4170;12/01/2026 04:00;7.7;7.3;3.3;77.7;0.0;14;15.1;6.1;242;71.0;15.7;partly-cloudy
9920;12/01/2026 04:00;7.1;6.3;2.9;94.1;0.1;13;14.9;6.1;246;48.3;13.1;partly-cloudy
4520;12/01/2026 04:00;6.8;6.3;2.8;86.6;0.0;11;10.9;8.9;222;65.4;15.1;partly-cloudy
5889;12/01/2026 04:00;7.7;7.1;3.9;85.6;0.0;20;16.0;9.0;232;60.4;10.1;partly-cloudy
5106;12/01/2026 04:00;6.1;5.5;3.4;72.8;0.0;4;12.0;7.4;201;42.9;14.5;partly-cloudy
5174;12/01/2026 04:00;7.1;6.5;3.6;75.8;0.0;0;14.9;4.6;258;58.4;9.2;partly-cloudy
1047;12/01/2026 04:00;7.2;6.6;4.4;77.3;0.0;11;13.5;8.3;223;84.5;13.4;cloudy
4890;12/01/2026 04:00;6.6;5.7;4.1;72.7;0.0;10;13.5;5.7;259;60.1;13.7;partly-cloudy
4982;12/01/2026 04:00;8.2;7.4;3.5;85.2;0.0;5;11.8;4.8;245;56.5;15.3;partly-cloudy
10063;12/01/2026 04:00;6.9;5.9;3.7;75.9;0.0;17;9.5;10.5;241;48.1;12.6;partly-cloudy
11107;12/01/2026 04:00;8.1;7.3;3.3;85.0;0.0;0;12.5;8.9;289;94.5;15.3;cloudy
10779;12/01/2026 04:00;7.2;6.7;3.4;80.9;0.0;6;13.5;6.3;273;69.3;8.8;partly-cloudy
6516;12/01/2026 04:00;7.7;6.5;3.5;84.1;0.0;4;14.8;8.7;246;46.7;9.9;partly-cloudy
6505;12/01/2026 04:00;7.1;6.4;4.1;83.8;0.0;13;15.4;7.2;231;47.8;9.7;partly-cloudy
10922;12/01/2026 04:00;7.2;6.2;3.5;81.5;0.0;21;17.5;7.2;203;92.6;12.3;cloudy
10658;12/01/2026 04:00;6.6;6.2;3.9;75.9;0.0;17;13.7;0.6;224;68.1;16.2;partly-cloudy
5888;12/01/2026 04:00;7.7;6.9;3.4;76.7;0.0;0;10.3;8.2;238;49.8;10.9;partly-cloudy
5292;12/01/2026 04:00;7.0;5.9;4.0;79.8;0.0;13;11.8;7.6;225;43.2;11.8;partly-cloudy
3410;12/01/2026 04:00;6.8;6.1;4.0;76.5;0.0;16;20.1;6.9;239;84.4;8.9;cloudy
6503;12/01/2026 04:00;6.6;5.9;4.2;75.5;0.0;11;12.9;7.8;232;52.2;16.2;partly-cloudy
6506;12/01/2026 04:00;7.0;6.3;4.2;75.8;0.1;15;14.9;8.2;228;39.7;10.7;partly-cloudy
10927;12/01/2026 04:00;7.3;6.2;3.1;70.9;0.0;6;15.8;8.1;261;50.6;11.9;partly-cloudy
10375;12/01/2026 04:00;6.4;5.5;3.7;85.3;0.0;2;12.0;8.4;271;60.1;9.9;partly-cloudy
5035;12/01/2026 04:00;6.8;6.1;3.3;72.8;0.0;13;14.2;4.4;252;78.0;11.9;partly-cloudy
9909;12/01/2026 04:00;7.9;7.2;4.0;76.1;0.0;10;14.9;3.6;247;78.4;11.8;partly-cloudy
3632;12/01/2026 04:00;6.7;5.7;3.5;79.3;0.0;13;12.7;8.5;246;52.6;14.4;partly-cloudy
4780;12/01/2026 04:00;7.8;7.1;3.3;82.4;0.0;2;17.4;6.8;262;71.6;12.2;partly-cloudy
10566;12/01/2026 04:00;6.3;5.4;4.1;90.1;0.0;0;17.7;5.8;243;60.7;11.4;partly-cloudy
5151;12/01/2026 04:00;6.8;5.6;4.3;87.5;0.0;4;13.7;6.4;280;65.3;10.0;partly-cloudy
5264;12/01/2026 04:00;5.3;4.7;3.6;83.3;0.0;13;7.6;7.2;201;75.6;13.6;partly-cloudy
6906;12/01/2026 04:00;7.6;6.7;3.5;82.7;0.0;17;10.5;7.9;256;38.1;10.6;partly-cloudy
3643;12/01/2026 04:00;6.7;5.8;4.3;68.8;0.0;2;13.9;5.5;217;100.0;11.8;cloudy
3664;12/01/2026 04:00;7.6;6.9;3.6;80.5;0.0;0;12.7;6.6;233;90.7;10.8;cloudy
10986;12/01/2026 04:00;6.5;5.8;3.1;81.4;0.0;17;11.4;6.1;203;72.3;9.2;partly-cloudy
4596;12/01/2026 04:00;6.9;6.0;3.4;70.1;0.1;14;17.0;5.1;266;67.8;13.0;partly-cloudy
11041;12/01/2026 04:00;8.1;7.1;4.1;72.9;0.0;19;13.7;4.7;241;88.6;12.4;cloudy
11261;12/01/2026 04:00;6.3;5.7;3.6;80.4;0.0;4;16.6;6.6;257;36.5;15.1;partly-cloudy
3688;12/01/2026 04:00;6.8;6.1;3.8;69.8;0.1;9;10.0;7.4;216;75.6;12.2;partly-cloudy
6230;12/01/2026 04:00;6.5;5.6;4.1;76.1;0.0;14;11.8;3.9;279;67.5;12.9;partly-cloudy
5487;12/01/2026 04:00;7.4;6.5;3.5;89.1;0.0;0;13.5;7.9;292;63.2;11.7;partly-cloudy
5761;12/01/2026 04:00;7.0;6.5;3.8;89.7;0.0;17;13.3;4.2;287;63.8;10.2;partly-cloudy
5926;12/01/2026 04:00;7.2;6.3;3.4;79.2;0.0;13;4.3;5.9;288;94.8;10.5;cloudy
10440;12/01/2026 04:00;6.6;5.7;4.0;87.6;0.0;9;15.7;7.6;288;72.5;10.2;partly-cloudy
6335;12/01/2026 04:00;7.3;6.3;2.9;82.3;0.0;16;17.6;9.0;278;45.9;11.1;partly-cloudy
6468;12/01/2026 04:00;6.5;5.7;2.9;71.2;0.0;4;16.8;11.8;297;43.5;10.4;partly-cloudy
6473;12/01/2026 04:00;5.8;5.1;3.6;83.2;0.0;0;8.7;5.9;224;63.7;9.8;partly-cloudy
10477;12/01/2026 04:00;6.2;5.3;3.6;87.4;0.0;8;17.3;2.7;219;60.6;11.4;partly-cloudy
4124;12/01/2026 04:00;7.3;6.6;3.0;77.2;0.0;10;12.5;7.2;204;63.1;12.3;partly-cloudy
10608;12/01/2026 04:00;6.6;6.2;3.2;73.6;0.0;1;10.6;5.5;254;35.3;12.2;partly-cloudy
4291;12/01/2026 04:00;5.8;5.0;3.3;78.3;0.0;5;14.0;8.5;273;68.5;15.8;partly-cloudy
4329;12/01/2026 04:00;7.0;5.8;3.8;88.2;0.0;17;18.9;10.2;244;73.0;11.6;partly-cloudy
7102;12/01/2026 04:00;7.3;6.7;3.6;69.3;0.0;7;12.2;6.0;202;68.6;12.8;partly-cloudy
4668;12/01/2026 04:00;6.8;5.9;4.0;76.6;0.0;0;15.8;8.9;287;50.8;12.5;partly-cloudy
3787;12/01/2026 04:00;6.3;5.7;3.6;73.4;0.0;0;16.7;7.0;298;72.7;16.7;partly-cloudy
3916;12/01/2026 04:00;7.7;7.0;3.1;80.7;0.0;28;15.4;8.5;255;78.7;12.1;partly-cloudy
3918;12/01/2026 04:00;6.4;5.6;3.8;84.1;0.0;15;14.2;10.4;215;81.7;13.3;cloudy
11146;12/01/2026 04:00;7.4;6.5;3.4;85.1;0.0;14;10.1;6.3;216;83.6;11.9;cloudy
10338;12/01/2026 04:00;7.3;6.3;3.5;84.2;0.0;5;16.7;10.6;289;56.9;11.5;partly-cloudy
1003;12/01/2026 04:00;8.1;7.3;4.0;81.8;0.0;25;14.5;11.6;271;52.7;11.0;partly-cloudy
1048;12/01/2026 04:00;6.1;5.4;3.9;75.9;0.0;6;13.1;6.7;276;45.9;13.4;partly-cloudy
6907;12/01/2026 04:00;7.4;7.2;3.4;77.5;0.0;0;11.9;8.7;251;60.1;11.4;partly-cloudy
4054;12/01/2026 04:00;9.0;8.4;2.9;81.7;0.0;18;17.9;6.9;207;73.5;11.0;partly-cloudy
5540;12/01/2026 04:00;7.5;6.5;3.4;79.3;0.0;5;12.8;7.7;284;48.6;11.7;partly-cloudy
5790;12/01/2026 04:00;7.7;6.5;4.0;77.4;0.0;9;19.4;6.9;220;92.5;9.3;cloudy
6059;12/01/2026 04:00;6.9;6.4;4.2;77.3;0.1;6;11.5;9.1;218;82.5;13.2;cloudy
6242;12/01/2026 04:00;6.5;5.4;3.2;86.7;0.0;8;14.1;5.4;278;97.9;14.2;cloudy
10758;12/01/2026 04:00;5.7;4.9;3.6;78.0;0.0;0;15.8;5.4;208;89.7;9.2;cloudy
6345;12/01/2026 04:00;7.2;6.5;3.4;80.4;0.0;1;10.5;5.6;296;91.3;11.4;cloudy
4508;12/01/2026 04:00;7.2;6.3;3.9;78.2;0.0;4;12.5;5.3;256;60.5;13.1;partly-cloudy
4914;12/01/2026 04:00;7.1;6.5;3.8;82.7;0.0;15;9.9;5.9;241;73.6;13.9;partly-cloudy
6519;12/01/2026 04:00;7.5;6.7;3.3;85.5;0.0;2;10.2;7.5;215;43.6;14.0;partly-cloudy
3605;12/01/2026 04:00;8.4;7.4;3.3;72.2;0.0;18;13.1;8.5;293;88.0;12.6;cloudy
4384;12/01/2026 04:00;7.2;6.3;3.2;76.4;0.0;6;11.2;9.7;244;61.8;12.1;partly-cloudy
4424;12/01/2026 04:00;7.4;6.5;3.5;79.3;0.1;0;13.2;7.3;263;88.9;11.2;cloudy
5483;12/01/2026 04:00;7.8;6.8;3.1;79.1;0.0;13;7.9;8.2;208;61.5;11.9;partly-cloudy
5669;12/01/2026 04:00;6.5;5.5;3.5;76.8;0.1;11;19.7;5.6;211;79.9;10.9;partly-cloudy
5824;12/01/2026 04:00;7.1;6.5;4.3;72.2;0.0;10;10.6;5.6;267;73.2;9.7;partly-cloudy
10342;12/01/2026 04:00;8.3;7.6;3.5;64.8;0.0;19;13.7;4.3;278;50.5;14.2;partly-cloudy
6172;12/01/2026 04:00;7.5;6.7;3.7;77.4;0.0;27;19.4;6.0;263;75.0;14.9;partly-cloudy
6361;12/01/2026 04:00;7.5;6.8;3.4;81.0;0.0;10;14.7;9.4;273;31.0;14.5;partly-cloudy
10241;12/01/2026 04:00;6.6;5.7;3.5;82.9;0.0;0;22.7;7.8;292;100.0;9.6;cloudy
10937;12/01/2026 04:00;7.5;6.5;3.7;84.0;0.0;8;14.9;7.5;214;61.7;12.7;partly-cloudy
4218;12/01/2026 04:00;6.0;4.9;4.3;74.9;0.0;17;13.0;6.8;227;94.7;12.0;cloudy
9932;12/01/2026 04:00;6.3;5.3;3.7;70.1;0.0;12;12.2;8.6;253;58.1;11.3;partly-cloudy
5134;12/01/2026 04:00;6.9;6.2;3.7;82.0;0.0;9;12.1;5.9;279;47.3;13.0;partly-cloudy
